,0
0,"Pitches: [0, 3, 7], Name: Minor"
1,"Pitches: [0, 3, 5, 8], Name: Not Named"
2,"Pitches: [0, 3, 6, 9], Name: Diminished 7th"
3,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
4,"Pitches: [0, 3, 7], Name: Minor"
5,"Pitches: [0, 3, 6], Name: Diminished"
6,"Pitches: [0, 3, 7], Name: Minor"
7,"Pitches: [0, 3, 7], Name: Minor"
8,"Pitches: [0, 2, 5, 8], Name: Half Diminished 7th"
9,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
10,"Pitches: [0, 2, 3, 7], Name: Not Named"
11,"Pitches: [0, 4, 7], Name: Major"
12,"Pitches: [0, 2, 5, 8], Name: Half Diminished 7th"
13,"Pitches: [0, 4, 7], Name: Major"
14,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
15,"Pitches: [0, 4, 7], Name: Major"
16,"Pitches: [0, 4, 7], Name: Major"
17,"Pitches: [0, 2, 3, 7], Name: Not Named"
18,"Pitches: [0, 3, 7], Name: Minor"
19,"Pitches: [0, 3, 6, 9], Name: Diminished 7th"
20,"Pitches: [0, 3, 7], Name: Minor"
21,"Pitches: [0, 4, 7], Name: Major"
22,"Pitches: [0, 5], Name: Perfect 4th"
23,"Pitches: [0, 2, 5, 7], Name: Quartal"
24,"Pitches: [0, 3, 7], Name: Minor"
25,"Pitches: [0, 4, 7], Name: Major"
26,"Pitches: [0, 3, 7], Name: Minor"
27,"Pitches: [0, 2, 5, 7], Name: Quartal"
28,"Pitches: [0, 4, 7], Name: Major"
29,"Pitches: [0, 3, 7], Name: Minor"
30,"Pitches: [0, 3, 7], Name: Minor"
31,"Pitches: [0, 3, 5, 8], Name: Not Named"
32,"Pitches: [0, 3, 6, 9], Name: Diminished 7th"
33,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
34,"Pitches: [0, 3, 7], Name: Minor"
35,"Pitches: [0, 3, 6], Name: Diminished"
36,"Pitches: [0, 3, 7], Name: Minor"
37,"Pitches: [0, 3, 7], Name: Minor"
38,"Pitches: [0, 2, 5, 8], Name: Half Diminished 7th"
39,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
40,"Pitches: [0, 2, 3, 7], Name: Not Named"
41,"Pitches: [0, 4, 7], Name: Major"
42,"Pitches: [0, 2, 5, 8], Name: Half Diminished 7th"
43,"Pitches: [0, 4, 7], Name: Major"
44,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
45,"Pitches: [0, 4, 7], Name: Major"
46,"Pitches: [0, 4, 7], Name: Major"
47,"Pitches: [0, 2, 3, 7], Name: Not Named"
48,"Pitches: [0, 3, 7], Name: Minor"
49,"Pitches: [0, 3, 6, 9], Name: Diminished 7th"
50,"Pitches: [0, 3, 7], Name: Minor"
51,"Pitches: [0, 4, 7], Name: Major"
52,"Pitches: [0, 5], Name: Perfect 4th"
53,"Pitches: [0, 2, 5, 7], Name: Quartal"
54,"Pitches: [0, 3, 7], Name: Minor"
55,"Pitches: [0, 4, 7], Name: Major"
56,"Pitches: [0, 3, 7], Name: Minor"
57,"Pitches: [0, 2, 5, 7], Name: Quartal"
58,"Pitches: [0, 4, 7], Name: Major"
59,"Pitches: [0, 3, 7], Name: Minor"
60,"Pitches: [0, 3, 7], Name: Minor"
61,"Pitches: [0, 2, 5, 7], Name: Quartal"
62,"Pitches: [0, 3, 7], Name: Minor"
63,"Pitches: [0, 3, 5, 8], Name: Not Named"
64,"Pitches: [0, 3, 7], Name: Minor"
65,"Pitches: [0, 2, 5], Name: Not Named"
66,"Pitches: [0, 3, 7], Name: Minor"
67,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
68,"Pitches: [0, 3, 7], Name: Minor"
69,"Pitches: [0, 4, 7], Name: Major"
70,"Pitches: [0, 3, 5, 8], Name: Not Named"
71,"Pitches: [0, 4, 7], Name: Major"
72,"Pitches: [0, 4, 7], Name: Major"
73,"Pitches: [0, 4, 7], Name: Major"
74,"Pitches: [0, 3, 5, 8], Name: Not Named"
75,"Pitches: [0, 3, 7], Name: Minor"
76,"Pitches: [0, 4, 7], Name: Major"
77,"Pitches: [0, 3, 6, 9], Name: Diminished 7th"
78,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
79,"Pitches: [0, 4, 7], Name: Major"
80,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
81,"Pitches: [0, 4, 7], Name: Major"
82,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
83,"Pitches: [0, 2, 3, 7], Name: Not Named"
84,"Pitches: [0, 4, 7], Name: Major"
85,"Pitches: [0, 2, 5, 8], Name: Half Diminished 7th"
86,"Pitches: [0, 4, 7], Name: Major"
87,"Pitches: [0, 3, 7], Name: Minor"
88,"Pitches: [0, 3, 6], Name: Diminished"
89,"Pitches: [0, 2, 7], Name: Suspended"
90,"Pitches: [0, 4], Name: Major 3rd"
91,"Pitches: [0, 4, 7], Name: Major"
92,"Pitches: [0, 2, 5, 7], Name: Quartal"
93,"Pitches: [0, 4, 7], Name: Major"
94,"Pitches: [0, 2, 4, 7], Name: Not Named"
95,"Pitches: [0, 4, 7], Name: Major"
96,"Pitches: [0, 2, 5, 8], Name: Half Diminished 7th"
97,"Pitches: [0, 3, 4, 8], Name: Not Named"
98,"Pitches: [0, 3, 7], Name: Minor"
99,"Pitches: [0, 3, 6, 9], Name: Diminished 7th"
100,"Pitches: [0, 2, 7], Name: Suspended"
101,"Pitches: [0, 2, 5, 7], Name: Quartal"
102,"Pitches: [0, 4, 7], Name: Major"
103,"Pitches: [0, 4, 7], Name: Major"
104,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
105,"Pitches: [0, 3, 7], Name: Minor"
106,"Pitches: [0, 3, 6], Name: Diminished"
107,"Pitches: [0, 4, 8], Name: Augmented"
108,"Pitches: [0, 3, 7], Name: Minor"
109,"Pitches: [0, 2, 5, 7], Name: Quartal"
110,"Pitches: [0, 3, 6, 8], Name: Dominant 7th"
111,"Pitches: [0, 2, 7], Name: Suspended"
112,"Pitches: [0, 4, 7], Name: Major"
113,"Pitches: [0, 2, 7], Name: Suspended"
114,"Pitches: [0, 4, 7], Name: Major"
